Nombre de la obra;Ubicación de la obra;Pais;Continente;Anio;Motivo de la obra; Valor ;Técnica y estilo;Estado;Texto;Imagen;
Valentine's Day;Bristol;Inglaterra;Europa;2020;Justicia social; £6.000.000 ;Plantilla (stencil);Buen estado;;;
Create Escape;Reading Prison;Inglaterra;Europa;2021;Justicia social; £10.000.000 ;Plantilla (stencil);Buen estado;;;
Hula Hoop Girl;Nottingham;Inglaterra;Europa;2020;Justicia social; £300.000 ;Plantilla (stencil);Removida;;;
Banksy Reindeers;Birmingham;Inglaterra;Europa;2019;Justicia social; £300.000 ;Plantilla (stencil);Buen estado;;;
Season's Greeting;Port Talbot;Gales;Europa;2018;Medio ambiente;;Plantilla (stencil);Buen estado;;;
Million Pound Banksy Art Left in Shreds;Londres;Inglaterra;Europa;2018;Capitalismo; £18.582.000 ;Pintura sobre lienzo;Buen estado;;;
The Mild Mild West;Bristol;Inglaterra;Europa;1999;Política;;Pintura mural;Buen estado;;;
Rage, Flower Thrower;Jerusalén;Palestina;Asia;2003;Política; £1.300.000 ;Plantilla (stencil);Buen estado;;;
One Nation Under CCTV;Londres;Inglaterra;Europa;2008;Política;;Plantilla (stencil);Removida;;;
This Is Not A Photo Opportunity;Cheddar Gorge, Somerset;Inglaterra;Europa;2004;Justicia social;;Plantilla (stencil);Vandalizada;;;
Bomb Hugger;Londres;Inglaterra;Europa;2003;Violencia;;Plantilla (stencil);Removida;;;
Snorting Policeman;Londres;Inglaterra;Europa;2005;Violencia;;Plantilla (stencil);Removida;;;
Sweep it Under the Carpet;Londres;Inglaterra;Europa;2006;Política;;Plantilla (stencil);Removida;;;
Child Soldier;Los Ángeles;Estados Unidos;América;2011;Violencia;;Plantilla (stencil);Vandalizada;;;
Guantanamo Bay Detainee;Disneyland, California;Estados Unidos;América;2006;Política;;Instalación;Removida;;;
Slave Labour;Londres;Inglaterra;Europa;2012;Capitalismo;;Plantilla (stencil);Removida;;;
Kissing Coppers;Brighton;Inglaterra;Europa;2004;Justicia social;;Plantilla (stencil);Removida;;;
Police Sniper;Londres;Inglaterra;Europa;2005;Violencia;;Plantilla (stencil);Vandalizada;;;
Lenin Punk;Weston-Super-Mare;Inglaterra;Europa;2011;Política;;Plantilla (stencil);Vandalizada;;;
Cash Machine Girl;Londres;Inglaterra;Europa;2007;Capitalismo;;Plantilla (stencil);Removida;;;
Follow Your Dreams – Cancelled;Boston;Estados Unidos;América;2010;Justicia social;;Plantilla (stencil);Vandalizada;;;
Rodeo Cowboy Kid;Nueva York;Estados Unidos;América;2013;Justicia social;;Plantilla (stencil);Vandalizada;;;
There is Always Hope;Londres;Inglaterra;Europa;2002;Justicia social;;Plantilla (stencil);Vandalizada;;;
The Thinker Monkey;Los Ángeles;Estados Unidos;América;2011;Justicia social;;Plantilla (stencil);Vandalizada;;;
Keep your coins, I won’t change;Melbourne;Australia;Oceania;2003;Justicia social;;Plantilla (stencil);Vandalizada;;;
If Graffiti Changed Anything, it would be Illegal;Londres;Inglaterra;Europa;2011;Política;;Plantilla (stencil);Vandalizada;;;
Flying Balloon Girl;Cisjordania;Palestina;Asia;2005;Justicia social; £2.072.000 ;Plantilla (stencil);Buen estado;;;
Interest in People;Toronto;Canada;América;2010;Capitalismo;;Plantilla (stencil);Vandalizada;;;
Ghetto Boy;Londres;Inglaterra;Europa;2008;Justicia social;;Plantilla (stencil);Vandalizada;;;
GCHQ Government Spies Telephone Box;Cheltenham;Inglaterra;Europa;2014;Política;;Plantilla (stencil);Buen estado;;;
Napalm Girl;Londres;Inglaterra;Europa;2004;Violencia;;Plantilla (stencil);Removida;;;
Stop and Search (Girl and a Soldier);Belén;Palestina;Asia;2007;Violencia;;Plantilla (stencil);Buen estado;;;
Hammer Boy;Manhattan, Nueva York;Estados Unidos;América;2013;Justicia social;;Plantilla (stencil);Buen estado;;;
Peaceful Hearts Doctor;San Francisco;Estados Unidos;América;2010;Justicia social;;Plantilla (stencil);Vandalizada;;;
Looting Soldiers;Nueva Orleans;Estados Unidos;América;2008;Capitalismo;;Plantilla (stencil);Vandalizada;;;
If at First, You Don’t Succeed;San Francisco;Estados Unidos;América;2010;Justicia social;;Plantilla (stencil);Buen estado;;;
Cave Painting Removal;Londres;Inglaterra;Europa;2005;Política;;Plantilla (stencil);Vandalizada;;;
Blank Walls are Criminal;Londres;Inglaterra;Europa;2003;Justicia social;;Plantilla (stencil);Buen estado;;;
No Future;Brighton;Inglaterra;Europa;2010;Justicia social;;Plantilla (stencil);Removida;;;
Aerial Flower Girl by Banksy;Los Ángeles;Estados Unidos;América;2008;Justicia social;;Plantilla (stencil);Buen estado;;;
Abraham Lincoln;Nueva Orleans;Estados Unidos;América;2008;Política; £325.000 ;Plantilla (stencil);Removida;;;
Death of a Telephone Box;Londres;Inglaterra;Europa;2006;Capitalismo;;Plantilla (stencil);Removida;;;
Fridge Kite;Nueva Orleans;Estados Unidos;América;2008;Justicia social;;Plantilla (stencil);Buen estado;;;
Girl with Skipping Rope;Brooklyn, Nueva York;Estados Unidos;América;2013;Justicia social;;Plantilla (stencil);Vandalizada;;;
Mobile Phone Lovers;Bristol;Inglaterra;Europa;2014;Capitalismo;;Plantilla (stencil);Buen estado;;;
Waiting in Vain;Nueva York;Estados Unidos;América;2013;Justicia social;;Plantilla (stencil);Vandalizada;;;
Policeman Searching Girl;Glastonbury;Inglaterra;Europa;2007;Violencia;;Plantilla (stencil);Buen estado;;;
Mona Lisa with Rocket Launcher;Londres;Inglaterra;Europa;2006;Política; £1.550.000 ;Plantilla (stencil);Removida;;;
I do not believe in Global Warming;Londres;Inglaterra;Europa;2009;Medio ambiente;;Plantilla (stencil);Removida;;;
Dove of Peace;Belén;Palestina;Asia;2007;Justicia social;;Plantilla (stencil);Buen estado;;;
;;;;;;;;;;;
