Año,Album,Artista,Streams,Generos,Valoracion,aoty,soty,Link,LinkImg
2003,Get Rich Or Die Tryin',50 Cent,5015462958,Hip Hop/Rap,3,0,0,https://open.spotify.com/intl-es/album/5G5rgQHzdQnw32SI0WjIo5?si=e6cf39617bb44366,https://i.scdn.co/image/ab67616d00001e02d843fabb75fef14010e30cae
2003,Meteora,Linkin Park,4857430359,Rock,4,0,0,https://open.spotify.com/intl-es/album/4Gfnly5CzMJQqkUFfoHaP3?si=984521e5242e4ea8,https://i.scdn.co/image/ab67616d00001e025f1f51d14e8bea89484ecd1b
2003,Fallen,Evanescence,2573148885,Rock,4,0,0,https://open.spotify.com/intl-es/album/02w1xMzzdF2OJxTeh1basm?si=b529c660d8054982,https://i.scdn.co/image/ab67616d00001e0225f49ab23f0ec6332efef432
2003,Dangerously In Love,Beyoncé,2464362757,R&B/Soul;Pop,2,0,0,https://open.spotify.com/intl-es/album/6oxVabMIqCMJRYN1GqR3Vf?si=087767d2667b4c00,https://i.scdn.co/image/ab67616d00001e0245680a4a57c97894490a01c1
2003,Speakerboxxx/The Love Below,Outkast,2211349865,Hip Hop/Rap;Otros,3,1,0,https://open.spotify.com/intl-es/album/1UsmQ3bpJTyK6ygoOOjG1r?si=3fb8a39bb53f441d,https://i.scdn.co/image/ab67616d00001e026e88eb6508fd94cd1b745ce2
2004,Hot Fuss,The Killers,4060162609,Otros;Rock,3,0,0,https://open.spotify.com/intl-es/album/4piJq7R3gjUOxnYs6lDCTg?si=c97835e6a0164f4e,https://i.scdn.co/image/ab67616d00001e02ccdddd46119a4ff53eaf1f5d
2004,Encore,Eminem,3386228369,Hip Hop/Rap,2,0,0,https://open.spotify.com/intl-es/album/7tsXPtLqhab1zWeubbf6JH?si=8eaccbcef28d4066,https://i.scdn.co/image/ab67616d00001e02dfd0ebe9b4b99f621f376453
2004,Confessions,Usher,3299536656,R&B/Soul,3,0,0,https://open.spotify.com/intl-es/track/4719foL6R25RSHSJ1shNaj?si=84bb6a7a59fd43d4,https://i.scdn.co/image/ab67616d00001e02365b3fb800c19f7ff72602da
2004,American Idiot,Green Day,2758705949,Pop;Rock,2,0,0,https://open.spotify.com/intl-es/album/5dN7F9DV0Qg1XRdIgW8rke?si=e0bcd112bcf2471d,https://i.scdn.co/image/ab67616d00001e0208a1b1e0674086d3f1995e1b
2004,Hopes And Fears,Keane,2566351836,Otros;Rock,1,0,0,https://open.spotify.com/intl-es/album/0MlTOiC5ZYKFGeZ8h3D4rd?si=d21931f5c4e048fe,https://i.scdn.co/image/ab67616d00001e027d6cd95a046a3c0dacbc7d33
2005,Demon Days,Gorillaz,2948130686,Pop;Hip Hop/Rap;Rock;R&B/Soul,4,0,0,https://open.spotify.com/intl-es/album/0bUTHlWbkSQysoM3VsWldT?si=ad72c480fc2945ce,https://i.scdn.co/image/ab67616d00001e0219d85a472f328a6ed9b704cf
2005,In Between Dreams,Jack Johnson,2803420126,Pop;Otros;Rock,3,0,0,https://open.spotify.com/intl-es/album/2B9q4KPjOEYu885Keo9dfX?si=47d574a9ca4f469c,https://i.scdn.co/image/ab67616d00001e02628dba01c669d89586967dc5
2005,X&Y,Coldplay,2527392067,Rock,3,0,0,https://open.spotify.com/intl-es/album/4E7bV0pzG0LciBSWTszra6?si=d354d9ac84934698,https://i.scdn.co/image/ab67616d00001e024e0362c225863f6ae2432651
2005,Late Registration,Kanye West,2491103690,Hip Hop/Rap;Otros,3,0,0,https://open.spotify.com/intl-es/album/5ll74bqtkcXlKE7wwkMq4g?si=7519a0556d744c9f,https://i.scdn.co/image/ab67616d00001e02428d2255141c2119409a31b2
2005,The Massacre,50 Cent,2378962508,Hip Hop/Rap,2,0,0,https://open.spotify.com/intl-es/album/2pidzXTaHV4WaIJYRxKDCH?si=a9f4d094de084bdc,https://i.scdn.co/image/ab67616d00001e0291f7222996c531b981e7bb3d
2006,Back To Black,Amy Winehouse,4261114016,R&B/Soul,1,0,0,https://open.spotify.com/intl-es/album/097eYvf9NKjFnv4xA9s2oV?si=17a75a3dee77491c,https://i.scdn.co/image/ab67616d00001e028f52f321140e4a76ea720c52
2006,The Black Parade / Living With Ghosts,My Chemical Romance,3806924926,Rock,3,0,0,https://open.spotify.com/intl-es/album/29mlJg2PpuihKDNYZalIxw?si=2aa164bbeeee4ffa,https://i.scdn.co/image/ab67616d00001e029a3e7d0c38c3af225e4695ce
2006,Stadium Arcadium,Red Hot Chili Peppers,2989597344,Rock,2,0,0,https://open.spotify.com/intl-es/album/7xl50xr9NDkd3i2kBbzsNZ?si=7afb96c8c9c94ac6,https://i.scdn.co/image/ab67616d00001e0209fd83d32aee93dceba78517
2006,Loose,Nelly Furtado,2953534601,R&B/Soul;Hip Hop/Rap;Pop;Otros,1,0,0,https://open.spotify.com/intl-es/album/2yboV2QBcVGEhcRlYuPpDT?si=eff6019a9e664782,https://i.scdn.co/image/ab67616d00001e02a6f439c8957170652f9410e2
2006,Konvicted,Akon,2417997343,R&B/Soul;Hip Hop/Rap;Pop;Otros,3,0,0,https://open.spotify.com/intl-es/album/6kzoWb4UzvKYgbDfAwgaFq?si=34b6c9db3f354b11,https://i.scdn.co/image/ab67616d00001e02d9bcf5565005950b353bc9cf
2007,Graduation,Kanye West,6355810973,Hip Hop/Rap,3,0,0,https://open.spotify.com/intl-es/album/4SZko61aMnmgvNhfhgTuD3?si=9ca9e57845f14c5e,https://i.scdn.co/image/ab67616d00001e0226f7f19c7f0381e56156c94a
2007,Good Girl Gone,Bad Rihanna,5570160652,R&B/Soul;Pop;Otros,1,0,0,https://open.spotify.com/intl-es/album/3JSWZWeTHF4HDGt5Eozdy7?si=b954f241b80a423d,https://i.scdn.co/image/ab67616d00001e02f9f27162ab1ed45b8d7a7e98
2007,Favourite Worst Nightmare,Arctic Monkeys,4075391033,Rock,2,0,0,https://open.spotify.com/intl-es/album/1XkGORuUX2QGOEIL4EbJKm?si=71747a9cf232459e,https://i.scdn.co/image/ab67616d00001e02b1f8da74f225fa1225cdface
2007,Minutes To Midnight,Linkin Park,2733270633,Rock,4,0,0,https://open.spotify.com/intl-es/album/2tlTBLz2w52rpGCLBGyGw6?si=81552ef037084ff3,https://i.scdn.co/image/ab67616d00001e026e996745f2c7b8036abef213
2007,Oracular Spectacular,MGMT,2313245470,Rock,3,0,0,https://open.spotify.com/intl-es/album/6mm1Skz3JE6AXneya9Nyiv?si=71904c2746ae4452,https://i.scdn.co/image/ab67616d00001e028b32b139981e79f2ebe005eb
2008,The Fame / The Fame Monster,Lady Gaga,7029921065,Pop;Otros;R&B/Soul,1,0,0,https://open.spotify.com/intl-es/album/6rePArBMb5nLWEaY9aQqL4?si=a2aca2c25b9749ff,https://i.scdn.co/image/ab67616d00001e025c9890c0456a3719eeecd8aa
2008,I Am...Sasha Fierce,Beyoncé,3935537492,R&B/Soul;Pop;Otros,2,0,1,https://open.spotify.com/intl-es/album/23Y5wdyP5byMFktZf8AcWU?si=076b8ab75a954621,https://i.scdn.co/image/ab67616d00001e02e13de7b8662b085b0885ffef
2008,Only By The Night,Kings of Leon,3212467798,Pop;Rock,4,0,0,https://open.spotify.com/intl-es/album/5CZR6ljD0x9fTiS4mh9wMp?si=4d43528d22984a15,https://i.scdn.co/image/ab67616d00001e022519d01c0cca06f134eeadd8
2008,Viva La Vida Or Death And All His Friends,Coldplay,3191610805,Pop;Rock;R&B/Soul,2,0,1,https://open.spotify.com/intl-es/album/1CEODgTmTwLyabvwd7HBty?si=9cd381236883430a,https://i.scdn.co/image/ab67616d00001e02e21cc1db05580b6f2d2a3b6e
2008,We Sing. We Dance. We Steal Things.,Jason Mraz,2963479787,R&B/Soul;Pop;Otros;Rock,2,0,0,https://open.spotify.com/intl-es/album/04G0YylSjvDQZrjOfE5jA5?si=fd3f45198d3748da,https://i.scdn.co/image/ab67616d00001e02125b1a330b6f6100ab19dbed
2009,One More Love,David Guetta,3288304738,Otros,1,0,0,https://open.spotify.com/intl-es/album/7fHeCs5cgtXYqxBPG1iK1n?si=73ca78759a1144c8,https://i.scdn.co/image/ab67616d00001e021813115ff10c5f5ae028321d
2009,The E.N.D. (The Energy Never Dies),Black Eyed Peas,3087011081,Pop;Hip Hop/Rap,1,0,0,https://open.spotify.com/intl-es/album/3lng6RAtdksQ2q02Fk5jaB?si=21d8fef9253c49bf,https://i.scdn.co/image/ab67616d00001e02382514f0114ba8f4a16d5db4
2009,Man On The Moon: The End Of Day,Kid Cudi,3007076499,Hip Hop/Rap;Otros,3,0,0,https://open.spotify.com/intl-es/album/1OnCqi7IuzjnrOh2ZNvJHd?si=ab7fbf48d4b84d6a,https://i.scdn.co/image/ab67616d00001e0279f39680d0a747ccd91520ec
2009,The Time Of Our Lives,Miley Cyrus,2898815286,Pop,2,0,0,https://open.spotify.com/intl-es/album/0IuHVgAvbNDJnJepuSZ8Oz?si=513a96096af242e8,https://i.scdn.co/image/ab67616d00001e024ea6653890e297d53e93e3e0
2009,Lungs,Florence + The Machine,2636288380,Pop;Hip Hop/Rap;Rock;R&B/Soul,2,0,0,https://open.spotify.com/intl-es/album/3nr57SI49M8brif4qnXgD6?si=3fee0011286045c8,https://i.scdn.co/image/ab67616d00001e020adf28d5d4441574162b2772
2010,Doo-Wops & Hooligans,Bruno Mars,8836895099,Pop;Otros,1,0,0,https://open.spotify.com/intl-es/album/6J84szYCnMfzEcvIcfWMFL?si=a477b9ab0aff4270,https://i.scdn.co/image/ab67616d00001e02f60070dce96a2c1b70cf6ff0
2010,Teenage Dream,Katy Perry,7426655469,Pop;Otros,1,0,0,https://open.spotify.com/intl-es/album/2UG6T6f0Qc9SaBCIcaviLM?si=1d510b39fd5541eb,https://i.scdn.co/image/ab67616d00001e021d955011a3ed477dc77865ad
2010,Recovery,Eminem,4699656635,Hip Hop/Rap,4,0,0,https://open.spotify.com/intl-es/album/47BiFcV59TQi2s9SkBo2pb?si=1df3e85b345149df,https://i.scdn.co/image/ab67616d00001e02c08d5fa5c0f1a834acef5100
2010,My Beautiful Dark Twisted Fantasy,Kanye West,4287368290,Hip Hop/Rap,3,0,0,https://open.spotify.com/intl-es/album/20r762YmB5HeofjMCiPMLv?si=643102ff2ace4478,https://i.scdn.co/image/ab67616d00001e02d9194aa18fa4c9362b47464f
2010,Loud,Rihanna,4188312373,R&B/Soul;Pop,2,0,0,https://open.spotify.com/intl-es/album/7vN82vd1Vq44fjlhjfvHJp?si=2e607ac33eb043c5,https://i.scdn.co/image/ab67616d00001e022ed326786e4c61c6b1dbf222
2011,21,Adele,7493158989,Pop;Otros;R&B/Soul,1,1,0,https://open.spotify.com/intl-es/album/0Lg1uZvI312TPqxNWShFXL?si=b4182671c5be401e,https://i.scdn.co/image/ab67616d00001e022118bf9b198b05a95ded6300
2011,Take Care,Drake,5248985573,R&B/Soul;Hip Hop/Rap,3,0,0,https://open.spotify.com/intl-es/album/6X1x82kppWZmDzlXXK3y3q?si=16a05bb4b8bc4301,https://i.scdn.co/image/ab67616d00001e02c7ea04a9b455e3f68ef82550
2011,Nothing But The Beat,David Guetta,4945525074,Pop;Otros,1,0,0,https://open.spotify.com/intl-es/album/4bTjdxhRRUiWfwj200f9Kl?si=b4f66d49d52d4ec3,https://i.scdn.co/image/ab67616d00001e025c8cfe4b2c4aa89c9c92108e
